PH-IOS-App_Engagement,2015-10-30,2015-10-30,0.1,613,3,
PH-IOS-App_Engagement,2015-11-01,2015-11-01,0.35,923,7,
PH-IOS-App_Engagement,2015-11-02,2015-11-02,0,780,0,
MY-Android-Mobile_Installs,2015-10-19,2015-10-19,5.44,2354,27,7
PH-IOS-App_Engagement,2015-11-04,2015-11-04,0.09,246,1,1
PH-IOS-App_Engagement,2015-11-03,2015-11-03,0.22,550,3,
PH-IOS-App_Engagement,2015-10-29,2015-10-29,0.18,462,3,
PH-IOS-App_Engagement,2015-10-28,2015-10-28,0.25,516,4,1
PH-IOS-App_Engagement,2015-10-22,2015-10-22,0.18,590,2,
PH-IOS-App_Engagement,2015-10-21,2015-10-21,0.13,789,5,
PH-IOS-App_Engagement,2015-10-20,2015-10-20,0.13,910,3,
PH-IOS-App_Engagement,2015-10-23,2015-10-23,0.16,361,2,
PH-IOS-App_Engagement,2015-10-24,2015-10-24,0.02,636,1,
PH-IOS-App_Engagement,2015-10-27,2015-10-27,0.08,694,1,1
PH-IOS-App_Engagement,2015-10-26,2015-10-26,0.17,697,4,
PH-IOS-App_Engagement,2015-10-25,2015-10-25,0.22,816,6,
MY-Android-Mobile_Installs,2015-10-20,2015-10-20,7.24,2027,39,12
MY-Android-Mobile_Installs,2015-10-21,2015-10-21,5.95,3294,34,8
MY-Android-Mobile_Installs,2015-11-03,2015-11-03,2.06,1139,17,2
MY-Android-Mobile_Installs,2015-11-02,2015-11-02,2.91,2193,30,4
MY-Android-Mobile_Installs,2015-11-01,2015-11-01,3.87,3124,36,6
MY-Android-Mobile_Installs,2015-11-04,2015-11-04,2.03,1268,12,2
VN-Android-App_Engagement,2015-10-19,2015-10-19,1.2,1676,51,
VN-Android-App_Engagement,2015-10-22,2015-10-22,0.6,1547,31,1
VN-Android-App_Engagement,2015-10-21,2015-10-21,0.28,1005,18,1
VN-Android-App_Engagement,2015-10-20,2015-10-20,0.71,1085,33,1
MY-Android-Mobile_Installs,2015-10-31,2015-10-31,2.97,2224,36,3
MY-Android-Mobile_Installs,2015-10-30,2015-10-30,1.82,973,11,2
MY-Android-Mobile_Installs,2015-10-24,2015-10-24,2.09,1512,25,2
MY-Android-Mobile_Installs,2015-10-23,2015-10-23,2.28,1575,14,2
MY-Android-Mobile_Installs,2015-10-22,2015-10-22,6.72,2496,36,9
MY-Android-Mobile_Installs,2015-10-25,2015-10-25,8.41,2566,31,10
MY-Android-Mobile_Installs,2015-10-26,2015-10-26,1.59,1899,19,3
MY-Android-Mobile_Installs,2015-10-29,2015-10-29,2.16,1192,13,2
